"perplexity","ng"
0,4
1.73727128394399,3
0,3
4.7382461988045,1
3.51888982041015,1
6.69886287549825,1
2.43611648561857,2
8.22878704736406,2
1.70474809223843,3
8.92219190947125,1
6.91467460809724,1
4.98687431200696,1
5.91437219300286,2
11.1865433734101,1
9.3679068329965,1
3.66356164612965,3
7.20711885620776,2
5.00394630594546,2
9.51115767335213,1
14.0921016017144,1
4.06044301054642,3
2.92673940206704,2
10.9864261327245,1
2.90420748974881,1
4.77912349311153,3
7.55538194424027,2
11.6814553831321,1
8.34151447379826,1
4.475530371007,2
3.63765311878095,2
0,4
2.05229055261389,2
10.6615008215454,1
5.14024673302975,2
2.44776710283854,2
1.6094379124341,4
6.70780577401688,1
12.7092034902724,1
6.01370744555021,1
4.31748811353631,3
14.075483503969,1
7.95334827681144,1
4.61794537747681,3
5.54595838946263,3
10.4940758447683,1
4.02535169073515,2
0,3
9.93235109079216,1
1.66879215508329,2
2.67003325750956,2
1.74919985480926,3
10.1634790041084,1
1.73460105538811,2
5.20826586780041,2
11.8206388150463,1
8.44228489909174,2
2.52572864430826,4
7.55405746113402,2
2.68964769967288,2
0,4
0.538996500732688,4
9.1869162777843,1
11.2460028859783,1
8.19505923287351,1
14.0788512686299,1
10.6435052371561,1
10.9844433638254,1
4.81150661898592,2
4.12254671998083,3
14.075483503969,1
2.83023049322415,3
5.47267402154134,1
5.70829608250908,2
0,3
2.06686275947297,3
3.51888982041015,1
0.139761942375159,2
10.1244356186123,1
1.09861228866811,3
14.075483503969,1
6.97227147844201,2
9.74668753297225,2
2.01926132541097,2
9.64945034522409,1
0.808978996085067,2
8.94017072460903,2
0.589962944324714,3
7.59858728158464,2
9.27242968723979,1
5.17528016730165,2
7.0698087155395,2
5.27763285503798,1
7.3075376039548,2
1.35239280944421,3
2.63905732961526,3
3.7479778573849,3
4.06055423906553,2
2.68960073808745,2
0,4
4.93389822787587,2
2.29631547998045,3
5.84354441703136,3
0.139761942375159,2
6.63470375147936,2
3.34990408727461,3
4.60849797608077,2
4.82237949781411,2
12.6958352430308,1
4.29869360447886,1
5.96717774297082,2
10.6761980951326,1
12.6912888803447,1
8.78379462025678,2
9.06906478461823,2
9.42188395062129,1
10.5790684669156,1
4.60451423319317,2
1.88706964903238,2
2.17853244432407,3
2.99573227355399,3
8.54225130165036,1
7.48661331313996,2
2.3487050286076,2
5.30140463007139,1
14.075483503969,1
8.37297634065583,2
8.41626727282628,2
2.90420363439402,1
0,3
8.44129900955474,2
8.84973683025584,1
4.88532399201908,3
5.48957144717636,2
10.1727281209431,1
4.98685889067695,1
6.6260090429165,2
8.85803681198225,2
5.27750222683412,2
10.418828352152,1
4.52178857704904,2
2.14006616349627,3
10.5122030724581,1
14.0887843275552,1
9.56466640553748,1
2.58021682959232,3
8.86820211372834,2
11.1424931631647,1
9.13302726887351,2
10.8974504923604,1
2.82234594347787,2
5.53170413452133,2
9.59360505902867,1
8.65495081791141,1
1.86085715702452,2
6.8330317327862,2
8.44129900955474,2
5.95937124092021,1
6.08677472691231,2
6.27758289758358,2
0,3
12.9768812391925,1
5.10220889785761,2
1.38629436111989,2
4.38811914867304,2
2.34330082000853,2
5.73375257949886,2
7.00820452132018,1
0,3
9.52188724335832,1
5.21532388103711,2
11.4364261743538,1
4.6882850926986,2
14.0869336669201,1
9.09881530055865,1
3.11666852953838,2
6.29355130076231,2
7.16328082803451,2
6.431193046182,2
2.27224106634337,2
11.0311453355816,1
5.53026789214073,1
7.25171494268091,2
8.95152106670948,1
3.5189090970355,1
6.06526403012538,2
2.06026182064122,2
4.20755877211257,2
5.35689452657791,2
9.69406197805012,2
9.30483666133949,1
2.64620832967572,2
2.34032542097689,3
7.0380979994408,2
0,3
10.0865087102313,1
12.1295795234743,1
5.39569153057321,2
5.32406986265045,2
11.8915597502189,1
7.42783908056931,1
0.59783700075562,3
8.73858520969164,1
9.69406197805012,2
5.49862142589242,2
0,3
14.0755343934556,1
6.80415791394269,2
1.20397280432594,4
11.7748119229987,1
14.0823899982817,1
2.91777073208428,2
5.67144709401326,2
4.96633503519968,2
14.0766302020592,1
14.075483503969,1
9.23520293963557,1
5.36947456086436,3
10.0214483501697,2
1.71559810826249,3
5.35677123721763,2
10.415138989071,1
3.55534806148941,2
3.41412563214449,2
4.7238186479209,2
3.95655924097308,4
5.98351637725881,2
7.97627428029504,1
7.00816365531556,1
4.56781439944433,3
4.02162451534323,3
4.24849524204936,2
3.38439026334577,2
6.34842834311075,1
3.11678300495491,2
2.27235623391231,2
1.58045037556085,3
11.772898410975,1
1.20397280432594,4
5.09375020080676,2
6.78116172035531,1
8.66833178019156,1
6.92714189581263,2
11.3050937740062,1
4.81697699127416,2
6.68581353685145,2
7.85887894502787,1
7.27918089486678,2
2.484906649788,3
1.90921756580765,2
12.6893101938962,1
6.40246983559176,2
8.32610208408058,1
2.3109590244666,2
10.3387248782372,1
2.37490575457367,3
10.0150751910807,1
2.64696250912237,2
12.4707795484915,1
14.1002149515273,1
4.62857827688611,2
